ECK #,gene name,JW strain
ECK0002,THRA,JW0001
ECK0003,THRB,JW0002
ECK0004,THRC,JW0003
ECK0005,YAAX,JW0004
ECK0006,YAAA,JW0005
ECK0007,YAAJ,JW0006
ECK0008,TALB,JW0007
ECK0009,MOG,JW0008
ECK0011,YAAW,JW0010
ECK0012,htgA,JW5001
ECK0013,YAAI,JW0012
ECK0014,DNAK,JW0013
ECK0015,DNAJ,JW0014
ECK0017,hokC,JW5002
ECK0020,NHAA,JW0018
ECK0021,NHAR,JW0019
ECK0024,RPST,JW0022
ECK0025,YAAY,JW5003
ECK0029,FKPB,JW0026
ECK0031,RIHC,JW0028
ECK0033,CARA,JW0030
ECK0034,CARB,JW0031
ECK0035,CAIF,JW0033
ECK0036,CAIE,JW5004
ECK0037,CAID,JW0035
ECK0038,CAIC,JW0036
ECK0039,CAIB,JW0037
ECK0040,CAIA,JW0038
ECK0041,CAIT,JW0039
ECK0042,FIXA,JW0040
ECK0043,FIXB,JW0041
ECK0044,FIXC,JW0042
ECK0045,FIXX,JW0043
ECK0046,YAAU,JW0044
ECK0047,KEFF,JW0045
ECK0048,KEFC,JW0046
ECK0050,APAH,JW0048
ECK0051,APAG,JW0049
ECK0052,KSGA,JW0050
ECK0053,PDXA,JW0051
ECK0054,SURA,JW0052
ECK0056,DJLA,JW0054
ECK0059,RLUA,JW0057
ECK0060,HEPA,JW0058
ECK0061,POLB,JW0059
ECK0065,ARAC,JW0063
ECK0066,YABI,JW5005
ECK0067,THIQ,JW0065
ECK0068,THIP,JW0066
ECK0069,TBPA,JW0067
ECK0070,SGRR,JW0068
ECK0072,SETA,JW0069
ECK0073,LEUD,JW0070
ECK0074,LEUC,JW0071
ECK0075,LEUB,JW5807
ECK0076,LEUA,JW0073
ECK0078,LEUO,JW0075
ECK0079,ILVI,JW0076
ECK0080,ILVH,JW0077
ECK0081,FRUR,JW0078
ECK0082,MRAZ,JW0079
ECK0083,MRAW,JW0080
ECK0093,DDLB,JW0090
ECK0100,MUTT,JW0097
ECK0101,YACG,JW5008
ECK0102,YACF,JW0099
ECK0104,GUAC,JW0101
ECK0105,HOFC,JW0102
ECK0106,HOFB,JW0103
ECK0107,PPDD,JW0104
ECK0108,NADC,JW0105
ECK0109,AMPD,JW0106
ECK0110,AMPE,JW0107
ECK0111,AROP,JW0108
ECK0112,PDHR,JW0109
ECK0113,ACEE,JW0110
ECK0114,ACEF,JW0111
ECK0116,YACH,JW0113
ECK0117,ACNB,JW0114
ECK0118,YACL,JW0115
ECK0119,SPED,JW0116
ECK0120,SPEE,JW0117
ECK0121,YACC,JW0118
ECK0122,CUEO,JW0119
ECK0123,GCD,JW0120
ECK0124,HPT,JW5009
ECK0126,YADG,JW0123
ECK0127,YADH,JW0124
ECK0128,YADI,JW0125
ECK0129,YADE,JW0126
ECK0130,PAND,JW0127
ECK0131,YADD,JW5010
ECK0133,PANB,JW0130
ECK0134,YADC,JW0131
ECK0135,YADK,JW0132
ECK0136,YADL,JW0133
ECK0137,YADM,JW0134
ECK0138,HTRE,JW0135
ECK0139,ECPD,JW0136
ECK0140,YADN,JW0137
ECK0142,PCNB,JW5808
ECK0143,YADB,JW5892
ECK0144,DKSA,JW0141
ECK0145,SFSA,JW0142
ECK0146,LIGT,JW5011
ECK0147,HRPB,JW0144
ECK0148,MRCB,JW0145
ECK0149,FHUA,JW0146
ECK0150,FHUC,JW0147
ECK0151,FHUD,JW0148
ECK0152,FHUB,JW0149
ECK0154,CLCA,JW5012
ECK0156,YADS,JW0153
ECK0157,BTUF,JW0154
ECK0159,DGT,JW0156
ECK0160,DEGP,JW0157
ECK0161,CDAR,JW5013
ECK0162,YAEH,JW0159
ECK0163,YAEI,JW5014
ECK0165,GLND,JW0162
ECK0182,RNHB,JW0178
ECK0185,LDCC,JW0181
ECK0186,YAER,JW0182
ECK0188,ROF,JW0184
ECK0190,YAEQ,JW0186
ECK0191,YAEJ,JW0187
ECK0192,NLPE,JW0188
ECK0193,YAEF,JW5016
ECK0195,YAEB,JW0191
ECK0196,RCSF,JW0192
ECK0197,METQ,JW0193
ECK0198,METI,JW0194
ECK0199,METN,JW0195
ECK0200,GMHB,JW0196
ECK0207,DKGB,JW0197
ECK0208,YAFC,JW0198
ECK0209,YAFD,JW5017
ECK0210,YAFE,JW0200
ECK0211,MLTD,JW5018
ECK0212,GLOB,JW0202
ECK0213,YAFS,JW0203
ECK0214,RNHA,JW0204
ECK0215,DNAQ,JW0205
ECK0217,YAFT,JW0206
ECK0220,YAFV,JW5019
ECK0221,IVY,JW0210
ECK0222,FADE,JW5020
ECK0223,LPCA,JW0212
ECK0224,YAFJ,JW0213
ECK0225,YAFK,JW0214
ECK0226,YAFQ,JW0215
ECK0227,DINJ,JW0216
ECK0228,YAFL,JW0217
ECK0229,YAFM,JW0218
ECK0232,DINB,JW0221
ECK0233,YAFN,JW0222
ECK0234,YAFO,JW0223
ECK0235,YAFP,JW0224
ECK0238,PEPD,JW0227
ECK0239,GPT,JW0228
ECK0240,FRSA,JW0229
ECK0241,CRL,JW0230
ECK0242,PHOE,JW0231
ECK0243,PROB,JW0232
ECK0244,PROA,JW0233
ECK0246,YKFI,JW0234
ECK0247,YAFW,JW0235
ECK0248,YKFH,JW5956
ECK0249,YKFG,JW0236
ECK0250,YAFX,JW5022
ECK0251,YKFF,JW5023
ECK0252,YKFB,JW0239
ECK0255,YKFA,JW0243
ECK0256,PERR,JW0244
ECK0262,MMUP,JW5027
ECK0264,AFUC,JW0254
ECK0269,YAGE,JW0261
ECK0270,YAGF,JW0262
ECK0272,YAGH,JW0264
ECK0273,YAGI,JW0265
ECK0274,ARGF,JW0266
ECK0275,YAGJ,JW0270
ECK0276,YAGK,JW0271
ECK0277,YAGL,JW0272
ECK0278,YAGM,JW0273
ECK0279,YAGN,JW0274
ECK0280,INTF,JW0275
ECK0281,YAGP,JW0276
ECK0282,YAGQ,JW0277
ECK0283,YAGR,JW0278
ECK0284,YAGS,JW0279
ECK0285,YAGT,JW0280
ECK0286,YAGU,JW0281
ECK0287,YKGJ,JW0282
ECK0288,YAGV,JW5030
ECK0289,YAGW,JW0284
ECK0290,YAGX,JW0285
