,Annotation,accuracy,precision,sensitivity,specificity
117,ECK120003903,0.998994974874,1.0,0.5,1.0
67,ECK120002159,0.997989949749,1.0,0.333333333333,1.0
47,ECK120003314,0.995979899497,0.5,0.25,0.998990918264
75,ECK120000810,0.996984924623,0.333333333333,0.5,0.997985901309
41,ECK120001072,0.993969849246,0.333333333333,0.2,0.99797979798
24,ECK120000629,0.98391959799,0.181818181818,0.222222222222,0.990872210953
2,ECK120000433,0.925628140704,0.166666666667,0.0925925925926,0.973432518597
3,ECK120000434,0.925628140704,0.166666666667,0.0925925925926,0.973432518597
27,ECK120000066,0.975879396985,0.1,0.25,0.981762917933
31,ECK120000295,0.98391959799,0.1,0.125,0.990881458967
5,ECK120000057,0.925628140704,0.0909090909091,0.105263157895,0.958202716823
35,ECK120002126,0.982914572864,0.0769230769231,0.166666666667,0.98786653185
17,ECK120000719,0.949748743719,0.0731707317073,0.2,0.961224489796
18,ECK120000526,0.95175879397,0.0526315789474,0.142857142857,0.963302752294
6,ECK120000311,0.930653266332,0.0512820512821,0.0588235294118,0.961498439126
11,ECK120000332,0.94472361809,0.05,0.105263157895,0.96106557377
15,ECK120000017,0.936683417085,0.0392156862745,0.125,0.949948927477
12,ECK120001192,0.930653266332,0.037037037037,0.105263157895,0.946721311475
9,ECK120000313,0.929648241206,0.0363636363636,0.105263157895,0.945696721311
10,ECK120000314,0.929648241206,0.0363636363636,0.105263157895,0.945696721311
4,ECK120000450,0.934673366834,0.0357142857143,0.025641025641,0.971757322176
25,ECK120000947,0.963819095477,0.0344827586207,0.111111111111,0.971602434077
23,ECK120001076,0.962814070352,0.0344827586207,0.1,0.971573604061
8,ECK120000636,0.916582914573,0.0344827586207,0.0689655172414,0.942028985507
19,ECK120000722,0.954773869347,0.0294117647059,0.0769230769231,0.966395112016
20,ECK120000811,0.95175879397,0.0263157894737,0.0833333333333,0.962360122075
13,ECK120000540,0.943718592965,0.0243902439024,0.0588235294118,0.959100204499
7,ECK120000352,0.913567839196,0.0175438596491,0.0322580645161,0.941908713693
14,ECK120001498,0.93567839196,0.0,0.0,0.951942740286
16,ECK120000812,0.923618090452,0.0,0.0,0.938712972421
21,ECK120001481,0.963819095477,0.0,0.0,0.975584944049
22,ECK120002995,0.973869346734,0.0,0.0,0.984756097561
26,ECK120001398,0.96783919598,0.0,0.0,0.976673427992
28,ECK120003898,0.96783919598,0.0,0.0,0.975683890578
29,ECK120000179,0.982914572864,0.0,0.0,0.990881458967
30,ECK120000674,0.980904522613,0.0,0.0,0.988855116515
32,ECK120000791,0.98391959799,0.0,0.0,0.991894630193
33,ECK120003142,0.984924623116,0.0,0.0,0.991902834008
34,ECK120001334,0.987939698492,0.0,0.0,0.993933265925
36,ECK120000665,0.990954773869,0.0,0.0,0.99595959596
37,ECK120003658,0.989949748744,0.0,0.0,0.994949494949
38,ECK120000524,0.987939698492,0.0,0.0,0.992929292929
39,ECK120001325,0.989949748744,0.0,0.0,0.994949494949
40,ECK120003378,0.987939698492,0.0,0.0,0.992929292929
42,ECK120001557,0.990954773869,0.0,0.0,0.994954591322
43,ECK120002180,0.991959798995,0.0,0.0,0.995963673058
44,ECK120000275,0.991959798995,0.0,0.0,0.995963673058
45,ECK120004441,0.991959798995,0.0,0.0,0.995963673058
46,ECK120000581,0.994974874372,0.0,0.0,0.998990918264
48,ECK120000194,0.995979899497,0.0,0.0,0.998991935484
49,ECK120001563,0.991959798995,0.0,0.0,0.994959677419
50,ECK120004419,0.990954773869,0.0,0.0,0.993951612903
52,ECK120002125,0.995979899497,0.0,0.0,0.998991935484
53,ECK120002342,0.995979899497,0.0,0.0,0.998991935484
54,ECK120002927,0.994974874372,0.0,0.0,0.997983870968
55,ECK120003643,0.994974874372,0.0,0.0,0.997983870968
57,ECK120000050,0.995979899497,0.0,0.0,0.998991935484
58,ECK120001018,0.994974874372,0.0,0.0,0.997983870968
59,ECK120002020,0.994974874372,0.0,0.0,0.997983870968
60,ECK120002953,0.993969849246,0.0,0.0,0.996975806452
61,ECK120004180,0.994974874372,0.0,0.0,0.997983870968
62,ECK120004225,0.993969849246,0.0,0.0,0.996975806452
63,ECK120000046,0.995979899497,0.0,0.0,0.998991935484
69,ECK120003441,0.995979899497,0.0,0.0,0.998991935484
70,ECK120003453,0.994974874372,0.0,0.0,0.997983870968
71,ECK120000393,0.995979899497,0.0,0.0,0.997985901309
74,ECK120000483,0.995979899497,0.0,0.0,0.997985901309
76,ECK120002210,0.994974874372,0.0,0.0,0.996978851964
77,ECK120002334,0.996984924623,0.0,0.0,0.998992950655
78,ECK120002377,0.996984924623,0.0,0.0,0.998992950655
79,ECK120002447,0.996984924623,0.0,0.0,0.998992950655
80,ECK120002884,0.994974874372,0.0,0.0,0.996978851964
81,ECK120003044,0.996984924623,0.0,0.0,0.998992950655
83,ECK120003388,0.994974874372,0.0,0.0,0.996978851964
84,ECK120003657,0.996984924623,0.0,0.0,0.998992950655
85,ECK120004323,0.994974874372,0.0,0.0,0.996978851964
86,ECK120004440,0.995979899497,0.0,0.0,0.997985901309
87,ECK120001566,0.996984924623,0.0,0.0,0.998992950655
88,ECK120001927,0.996984924623,0.0,0.0,0.998992950655
89,ECK120001999,0.996984924623,0.0,0.0,0.998992950655
90,ECK120004129,0.996984924623,0.0,0.0,0.998992950655
91,ECK120000229,0.993969849246,0.0,0.0,0.995971802618
95,ECK120001066,0.996984924623,0.0,0.0,0.998992950655
96,ECK120001291,0.995979899497,0.0,0.0,0.997985901309
97,ECK120001507,0.996984924623,0.0,0.0,0.998992950655
98,ECK120002219,0.995979899497,0.0,0.0,0.997985901309
99,ECK120002286,0.996984924623,0.0,0.0,0.998992950655
100,ECK120002449,0.996984924623,0.0,0.0,0.998992950655
101,ECK120002785,0.995979899497,0.0,0.0,0.997985901309
102,ECK120004106,0.996984924623,0.0,0.0,0.998992950655
104,ECK120004386,0.996984924623,0.0,0.0,0.998992950655
105,ECK120000139,0.996984924623,0.0,0.0,0.998992950655
106,ECK120000217,0.996984924623,0.0,0.0,0.998992950655
115,ECK120002818,0.996984924623,0.0,0.0,0.998992950655
118,ECK120004319,0.996984924623,0.0,0.0,0.998992950655
128,ECK120002251,0.997989949749,0.0,0.0,0.998993963783
129,ECK120002268,0.997989949749,0.0,0.0,0.998993963783
133,ECK120000089,0.997989949749,0.0,0.0,0.998993963783
136,ECK120000510,0.997989949749,0.0,0.0,0.998993963783
137,ECK120000827,0.997989949749,0.0,0.0,0.998993963783
138,ECK120001115,0.997989949749,0.0,0.0,0.998993963783
139,ECK120001306,0.997989949749,0.0,0.0,0.998993963783
140,ECK120001385,0.996984924623,0.0,0.0,0.997987927565
141,ECK120001611,0.997989949749,0.0,0.0,0.998993963783
142,ECK120002026,0.997989949749,0.0,0.0,0.998993963783
143,ECK120002359,0.997989949749,0.0,0.0,0.998993963783
145,ECK120003197,0.997989949749,0.0,0.0,0.998993963783
147,ECK120003334,0.997989949749,0.0,0.0,0.998993963783
0,ECK120000160,0.879396984925,,0.0,1.0
1,ECK120000319,0.933668341709,,0.0,1.0
51,ECK120001031,0.996984924623,,0.0,1.0
56,ECK120003880,0.996984924623,,0.0,1.0
64,ECK120000357,0.996984924623,,0.0,1.0
65,ECK120000358,0.996984924623,,0.0,1.0
66,ECK120000555,0.996984924623,,0.0,1.0
68,ECK120002708,0.996984924623,,0.0,1.0
72,ECK120000459,0.997989949749,,0.0,1.0
73,ECK120000460,0.997989949749,,0.0,1.0
82,ECK120003259,0.997989949749,,0.0,1.0
92,ECK120000347,0.997989949749,,0.0,1.0
93,ECK120000961,0.997989949749,,0.0,1.0
94,ECK120000963,0.997989949749,,0.0,1.0
103,ECK120004350,0.997989949749,,0.0,1.0
107,ECK120000220,0.997989949749,,0.0,1.0
108,ECK120000596,0.997989949749,,0.0,1.0
109,ECK120000924,0.997989949749,,0.0,1.0
110,ECK120000978,0.997989949749,,0.0,1.0
111,ECK120000981,0.997989949749,,0.0,1.0
112,ECK120001473,0.997989949749,,0.0,1.0
113,ECK120001857,0.997989949749,,0.0,1.0
114,ECK120001892,0.997989949749,,0.0,1.0
116,ECK120002871,0.997989949749,,0.0,1.0
119,ECK120000083,0.998994974874,,0.0,1.0
120,ECK120000119,0.998994974874,,0.0,1.0
121,ECK120000435,0.998994974874,,0.0,1.0
122,ECK120000584,0.998994974874,,0.0,1.0
123,ECK120001124,0.998994974874,,0.0,1.0
124,ECK120001197,0.998994974874,,0.0,1.0
125,ECK120001412,0.998994974874,,0.0,1.0
126,ECK120001729,0.998994974874,,0.0,1.0
127,ECK120002058,0.998994974874,,0.0,1.0
130,ECK120002813,0.998994974874,,0.0,1.0
131,ECK120004457,0.998994974874,,0.0,1.0
132,ECK120000026,0.998994974874,,0.0,1.0
134,ECK120000436,0.998994974874,,0.0,1.0
135,ECK120000484,0.998994974874,,0.0,1.0
144,ECK120003020,0.998994974874,,0.0,1.0
146,ECK120003223,0.998994974874,,0.0,1.0
148,ECK120003350,0.998994974874,,0.0,1.0
149,ECK120003456,0.998994974874,,0.0,1.0
150,ECK120004133,0.998994974874,,0.0,1.0
